generation ,engine,start_of_production,powertrain_architecture,body_type,seats,doors,acceleration_0-100km/h,maximum_speed,weight-to-power_ratio,weight-to-torque_ratio,power,power_per_litre,torque,engine_layout,engine_displacement,number_of_cylinders,engine_configuration,fuel_tank_capacity,length,width,height,drive_wheel,number_of_gears_and_type_of_gearbox,fuel_consumption_combined,end_of_production
911 Dakar (992),3.0 (480 Hp) AWD PDK ,2022,Internal Combustion engine ,"Off-road vehicle, Coupe ",2,2,3.4,240,"3.3 kg/Hp, 299.1 Hp/tonne ","2.8 kg/Nm, 355.1 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4530,1864,1338,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
911 Targa (992),4S 3.0 (450 Hp) PDK ,2020,Internal Combustion engine ,Targa ,4,2,3.8,304,"3.7 kg/Hp, 268.7 Hp/tonne ","3.2 kg/Nm, 316.4 Nm/tonne ",450 Hp @ 6500 rpm. ,151,530 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4519,1852,1299,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",9.9,
911 Targa (992),4S 3.0 (450 Hp) ,2020,Internal Combustion engine ,Targa ,4,2,4.4,304,"3.6 kg/Hp, 274.4 Hp/tonne ","3.1 kg/Nm, 323.2 Nm/tonne ",450 Hp @ 6500 rpm. ,151,530 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4519,1852,1301,All wheel drive (4x4) ,"7 gears, manual transmission ",10.3,
911 Targa (992),4 GTS 3.0 (480 Hp) PDK ,2021,Internal Combustion engine ,Targa ,4,2,3.5,307,"3.5 kg/Hp, 284.9 Hp/tonne ","3 kg/Nm, 338.3 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4533,1852,1299,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
911 Targa (992),4 GTS 3.0 (480 Hp) ,2021,Internal Combustion engine ,Targa ,4,2,4.3,307,"3.4 kg/Hp, 290.9 Hp/tonne ","2.9 kg/Nm, 345.5 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4533,1852,1301,All wheel drive (4x4) ,"7 gears, manual transmission ",,
911 Targa (992),4 3.0 (385 Hp) PDK ,2020,Internal Combustion engine ,Targa ,4,2,4.4,289,"4.3 kg/Hp, 231.2 Hp/tonne ","3.7 kg/Nm, 270.3 Nm/tonne ",385 Hp @ 6500 rpm. ,129.2,450 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4519,1852,1297,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",9.8,
911 Speedster (991 II),4.0 (510 Hp) ,2019,Internal Combustion engine ,Roadster ,2,2,4,310,"2.9 kg/Hp, 348.1 Hp/tonne ","3.1 kg/Nm, 320.8 Nm/tonne ",510 Hp @ 8400 rpm. ,127.6,470 Nm @ 6250 rpm.,"Rear, Longitudinal ",3996,6,Boxer ,64,4562,1852,1250,Rear wheel drive ,"6 gears, manual transmission ",13.8,
911 Cabriolet (992),Turbo S 3.8 (650 Hp) PDK ,2020,Internal Combustion engine ,Cabriolet ,4,2,2.8,330,"2.6 kg/Hp, 380.1 Hp/tonne ","2.1 kg/Nm, 467.8 Nm/tonne ",650 Hp @ 6750 rpm. ,173.6,800 Nm @ 2500-4000 rpm.,"Rear, Longitudinal ",3745,6,Boxer ,67,4535,1900,1301,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
911 Cabriolet (992),Turbo 3.8 (580 Hp) PDK ,2020,Internal Combustion engine ,Cabriolet ,4,2,2.9,320,"2.9 kg/Hp, 339.2 Hp/tonne ","2.3 kg/Nm, 438.6 Nm/tonne ",580 Hp @ 6500 rpm. ,154.9,750 Nm @ 2250-4500 rpm.,"Rear, Longitudinal ",3745,6,Boxer ,67,4535,1900,1302,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
911 Cabriolet (992),Carrera GTS 3.0 (480 Hp) PDK ,2021,Internal Combustion engine ,Cabriolet ,4,2,3.6,309,"3.4 kg/Hp, 297.2 Hp/tonne ","2.8 kg/Nm, 352.9 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4533,1852,1300,Rear wheel drive ,"8 gears, automatic transmission PDK ",,
911 Cabriolet (992),Carrera GTS 3.0 (480 Hp) ,2021,Internal Combustion engine ,Cabriolet ,4,2,4.3,309,"3.3 kg/Hp, 303.8 Hp/tonne ","2.8 kg/Nm, 360.8 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4533,1852,1302,Rear wheel drive ,"7 gears, manual transmission ",,
911 Cabriolet (992),Carrera 4 GTS 3.0 (480 Hp) PDK ,2021,Internal Combustion engine ,Cabriolet ,4,2,3.5,307,"3.5 kg/Hp, 288.3 Hp/tonne ","2.9 kg/Nm, 342.3 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4533,1852,1300,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
911 Cabriolet (992),Carrera 4 GTS 3.0 (480 Hp) ,2021,Internal Combustion engine ,Cabriolet ,4,2,4.3,307,"3.4 kg/Hp, 294.5 Hp/tonne ","2.9 kg/Nm, 349.7 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4533,1852,1302,All wheel drive (4x4) ,"7 gears, manual transmission ",,
911 Cabriolet (992),Carrera S 3.0 (450 Hp) PDK ,2019,Internal Combustion engine ,Cabriolet ,4,2,3.7,306,"3.5 kg/Hp, 283.9 Hp/tonne ","3 kg/Nm, 334.4 Nm/tonne ",450 Hp @ 6500 rpm. ,151,530 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4519,1852,1299,Rear wheel drive ,"8 gears, automatic transmission PDK ",9.1,
911 Cabriolet (992),Carrera 4S 3.0 (450 Hp) PDK ,2019,Internal Combustion engine ,Cabriolet ,4,2,3.6,304,"3.6 kg/Hp, 275.2 Hp/tonne ","3.1 kg/Nm, 324.2 Nm/tonne ",450 Hp @ 6500 rpm. ,151,530 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4519,1852,1299,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",9,
911 Cabriolet (992),Carrera 4 3.0 (385 Hp) PDK ,2019,Internal Combustion engine ,Cabriolet ,4,2,4.4,289,"4.2 kg/Hp, 236.9 Hp/tonne ","3.6 kg/Nm, 276.9 Nm/tonne ",385 Hp @ 6500 rpm. ,129.2,450 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4519,1852,1297,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",9.2,
911 Cabriolet (992),Carrera 3.0 (385 Hp) PDK ,2019,Internal Combustion engine ,Cabriolet ,4,2,4.4,291,"4.1 kg/Hp, 244.4 Hp/tonne ","3.5 kg/Nm, 285.7 Nm/tonne ",385 Hp @ 6500 rpm. ,129.2,450 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4519,1852,1297,Rear wheel drive ,"8 gears, automatic transmission PDK ",9.2,
911 (992),Turbo S 3.8 (650 Hp) PDK ,2020,Internal Combustion engine ,Coupe ,4,2,2.7,330,"2.5 kg/Hp, 396.3 Hp/tonne ","2.1 kg/Nm, 487.8 Nm/tonne ",650 Hp @ 6750 rpm. ,173.6,800 Nm @ 2500-4000 rpm.,"Rear, Longitudinal ",3745,6,Boxer ,67,4535,1900,1303,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
